,emotion,text
2191,disgust,"When I found out how the people of Ethiopia were starving and  
their government was spending millions on celebrating being in  
power so many years. Then I saw all these people on TV needing  
food, etc."
2198,disgust,"Returning home in the late afternoon I saw an indecent act made  
by a man with the purpose that I saw it."
2205,disgust,"I went to a restaurant with my boyfriend for dinner. There we saw  
a couple. the man of the couple was a negro and he hadn't manners  
for eat."
2212,disgust,"A teacher giving a test was called by a student by his first  
name. He (the teacher) said that he didn't give him this liberty."
2219,disgust,I felt disgust of dirty.
2226,disgust,"When I red a report in the magazine VESA about an Iranian telling  
what she had lived in the prisons in Iran. I felt disgust about  
that people."
2233,disgust,"I had this feeling when I met a girl, not that she was dirty but  
she was to ""fresh"", dump and childish."
2240,disgust,I felt disgust of my father when I knew he had a lover.
2247,disgust,Disgust of drunkers and of blood.
2254,disgust,"When my friends and I were camping in a weekend, and with little  
food, we met a middle age couple from a small town that invited  
us to eat in their house. Their house was small, badly built with  
old and dirty forniture and utensils. The problem was with pans,  
and dishes, and even the food."
2261,disgust,"When I went in a clinical hospital and saw in what conditions  
people are attended there."
2268,disgust,"When some friends and I get acquainted a guy during vacations I  
thought he was disgusted and ""a friend"" of mine for whom I feel a  
little disgust wanted to stay with him."
2275,disgust,When a girl that I liked didn't accept my curting.
2282,disgust,"I met a girl (22 years old), married. I liked her. I asked her  
for a date and I kissed her. I discovered that she lived nearby  
where I passed every day. I got amused thinking that her husband  
would be ... or me . I didn't talked to her anymore."
2292,disgust,"In contact with a poor family of northeast it was offered to me a  
crab to eat at my request. But the fact that this crab was  
prepared antihygienically and his appearence was also  
antihygienically it caused me disgust but I ate it anyway."
2299,disgust,"When I knew that a person who I didn't like, had about me other  
feelings."
2306,disgust,"After a serie of facts that occurred between a colleague and me I  
started to feel a certain necessity to get apart and I didn't want  
to see her anymore."
2313,disgust,"I was sitting in school, waiting for my sister to go home. Suddenly a  
boy put fire in a paper and threw it were I was sitting. The  
paper didn't get me, but I felt terribly disgusted at this  
cowardliness and irresponsibility that caused a great  
discussion. We went to the director and he, drunk as always, said  
that I was ... attention in school. I felt disgust of this  
situation, and of the persons implicated in it."
2320,disgust,"There is a girl at my work that doesn't take care much of her  
hygiene she comes always with her hair oiled, a not very agreable  
smell, and a bad appearance. Beside this she tries to be nice."
2327,disgust,"I felt disgust toward meat when I felt sick with the steak after  
a week only on meat."
2334,disgust,When I felt the smell of industries that pollute.
2341,disgust,"I was travelling, we were 15 person, one of them I met at the  
travel and didn't like her. One night I was asleep while she and  
her friends were talking too loud in the kitchen. I got up to ask for  
silence and since that day I felt constant disgust for her."
2348,disgust,"In a certain occasion I saw a dog in the street eating something  
so strange gooey that I wasn't able to eat lunch because I  
remembered the scene all the time."
2357,disgust,"I saw a film where snakes were crawling everywhere. I felt them  
crawling over all my body with that ... skins. The noise that  
they did disturbed me very much."
2364,disgust,"When my oldest sister discovered that her boyfriend had another  
girl."
2377,disgust,"The same event described under FEAR - in the bus a man sat beside  
me, with his trousers open and holding his penis."
2384,disgust,When somebody despised a friend of mine.
2391,disgust,To see damaged lettuce (with worms) in the icebox.
2398,disgust,"I felt disgust about all my friends. After having done a great  
effort to organize an evening together, and didn't work out, they  
put the blame on me. After this, I feel disgust towards those that  
blame me."
2405,disgust,When I had to plunge in a swamp of fetid and stagnant water.
2412,disgust,"I felt disgust when I realized that I had eaten something fatty,  
and vomited too much."
2419,disgust,"When I visited a creche. The conditions weren't too precarious  
but the children were in conditions of physical and emotional  
penury."
2426,disgust,"Seeing persons spending money in a shopping center with  
completely indifference to the misery reigning in our country."
2433,disgust,"About my girlfriend's sister who is a viper as I discovered some  
time ago."
2440,disgust,I felt disgust when I saw a dead animal on the roadway.
2447,disgust,"When I saw the film ""Memorie of Prison"" I saw a scene of  
masturbation of a man in the hold of a ship apart form fact that  
the film wasn't pleasant I had a leg of coconut candies in my  
hands."
2454,disgust,"When I needed another job and tought that a good and known person  
(my employer) could help me. He simply said that he couldn't help  
me."
2461,disgust,"I felt disgust when I kissed a guy that I know. I was on the outs  
with my boyfriend and this person appeared but he has nothing to  
do with me."
2468,disgust,When I met my boyfriend with another girl.
2475,disgust,"I was returning from the Universtity at night when I was accosted  
by a boy who molested me, passing his hands on my body."
2482,disgust,"I saw a magazine with photographs of dead and maimed people whose  
limbs were separated from their body like a head on one side and  
the leg on the other."
2489,disgust,"My main disgust is against codfish because I detest even the  
smell of it."
2496,disgust,"When I saw a man who hadn't the lower .... in a car  
exhibition. He was passing a handkerchief from inside to outside  
of his mouth."
2503,disgust,When in my childhood we were forced to take cod-liver oil.
2510,disgust,"I was working in a classmate's house with a group. A girl began  
to graze her foot against mine under the table."
2517,disgust,When I heard the bad news about the death of a close person.
2524,disgust,"I saw a man falling on the walkway. He seemed half dead, and was  
immobile. I felt disgust for the people who passed by without  
doing anything to help."
2534,disgust,"When I saw a fight I had a physical reaction of disgust and of  
deep perturbation."
2541,disgust,"I went to eat at my aunt's house and she served macaroni with a  
horrible appearence. I felt the sensation above. The worst was  
that I was practically obliged to eat."
2548,disgust,When the Americans set their nucleaar missiles in Europe.
2555,disgust,"I was disgusted with the hypocrisy of my colleagues from the  
group."
2563,disgust,"I felt it when I saw a colleague of mine eating like a beast. At  
the same time he was making gestures, speaking and making the  
hell of a noise."
2570,disgust,"A similar feeling I felt quite recently while travelling in a  
taxi. The driver treated me roughly and dishonestly - he chose  
the longest route, he overdrawed almost one lev more and he tried  
to be intimate with me."
2577,disgust,"I found a big black beetle in my coffee cup. It was alive big and  
it was moving its limbs."
2584,disgust,"A drunk man had fallen in the street and he was shouting obscene  
words."
2591,disgust,I caught a glimpse of a black-beetle.
2595,disgust,"I was looking after a dying patient at work one night, a young  
woman, my colleague was talking to her relatives and .... to  
offer them any support emotionally, physically and then sent them  
down to the coffee shop to have a dinner rather than offering the  
facilities available for their use cause it involved her having  
to do some work. Seeing them again I felt disgusted at her  
attitude."
2602,disgust,"I was disgusted with a friend's behaviour when she got absolutely  
drunk so that she vomitted all over my house."
2612,disgust,"We had a birthday party with 5 friends. One of us frequently used  
hard drugs. On the party I discovered that the other 3 friends  
also used them. While we agreed we would help the big user to  
stop using it."
2617,disgust,"I felt dusgust with a self-iterested person who ruined the life  
of another by means of utterly unfair methods."
2624,disgust,"I felt disgust with the alcohol, after I happened to see a young  
man, who was dead to the world and who wallowed on the pavement.  
This ""sight"" I watched from the bus."
2631,disgust,"I am disgusted with my sister's husband. On an early Sunday  
morning after having knocked at my door, he suddenly rushed in  
and finching me still in bed he began quarrelling about  
something. I could not understand. I heard his last words: ""Don't  
stare at me so because I'll beat you in your bed"" I got up  
terrified and a thrashing followed."
2638,disgust,"I felt disgust with a man I had trusted and respected, to whose  
problems I had always shown deep understanding."
2645,disgust,"I am disgusted with the fact that bad singers play at the opera  
(and not only there) only because they are protegTs or lovers of  
an important felow while at the same time some young and able  
singers work in a quite different field of life."
2654,disgust,"I felt it when I saw our headmaster blushed ingratiating himself  
with high ranking officials."
2663,disgust,"I and my friends got acquainted with a guy from Sofia who turned  
out to be gay, but we found that out only after 2 or 3 days."
2670,disgust,Negative statement concerning me of a friend before strangers.
2677,disgust,"I have experienced disgust with some people - usually double  
dealers."
2684,disgust,"I feel disgusted with toadies, hypocrites, chameleons."
2691,disgust,"I am disgusted with liers, hypocrites, slanderers, flunkeys."
2698,disgust,"I stayed for several weeks with a friend of mine before she moved  
to live with her husband. One evening he came drunk and made an  
awful scene, which I still remember."
2705,disgust,"Sort of awkward. I'd introduced (a lover) but introduced as a  
friend to some members of my family, and my niece Yavanna who's  
six was home from school and at Mum's and Dad's and was really  
silly and at first it was ok, but it went on and on - yukky pooh!  
You eat your snot, etc. and I felt cross she wouldn't stop. But  
she had an audience and was in one of those moods. Once I'd  
accepted it was something everyone does at time I felt better -  
it was partly having my friend there."
2712,disgust,"Bus driver driving roughly - old man fell off seat into aisle -  
driver wouldn't stop - disgusted with her behaviour."
2719,disgust,Disgust at myself when I stroked a sleeping girl's private parts.
2726,disgust,"4-letter words on a TV programme (Roche) while we were  
entertaining ""conservative"" relations who wanted to see the first  
episode."
2733,disgust,"My girlfriend came home after a business dinner at the most  
expensive place in town drunk as a skunk. Whats more she drove  
home and couldn't remember doing so. I was disgusted by her state  
and her actions."
2738,disgust,"Disgust - no. Maybe it is more precise to say revultion at a worm  
or a snake. But I mean it in a social aspect when somebody had  
behaved like a scoundrel to you, when by his actions he has made  
you change your attitude towards him but I thing this feeling the  
way I meant it, is not typical for the people interrelations."
2745,disgust,"When, for example, someone is calumnating."
2752,disgust,"I don't remember about a situation when I have experienced this  
feeling. Maybe it was when I saw a drunkard in the street."
2759,disgust,Attitude to a related family.
2766,disgust,Encouter with a prostitute.
2773,disgust,"When somebody behaves like a scoundrel. Recently a colleague of  
mine used the name of another one for his own benefit."
2780,disgust,"At the sight of an insect, such as the black-beetle."
2787,disgust,"Such a feeling springs up in me sometimes when I have meals at a  
catering establishment. It is a result either of the look of the  
food or when watching the way some people eat."
2794,disgust,I saw in the street a man spitting.
2801,disgust,"I have felt this feeling when a person whom I believe and respect,  
lied to me."
2808,disgust,"I felt disgust with a person whose behaviour was out of the  
elementary human norms."
2815,disgust,"A colleague of mine asked a lecturer to put him a higher mark in  
order to keep his good mards and thus to continue getting a  
scholarship for an excellent grade."
2822,disgust,Disgust with drunk people.
2829,disgust,"From the cigarette smoke. Usually I feel disgust from it when I  
am in a restaurant."
2836,disgust,A striking act of ingratitude at a public vehicle.
2843,disgust,"Recently in the tram, a man ran his fingers over my girlfriend  
then over me."
2850,disgust,A man was unfair to a girlfriend of mine.
2857,disgust,"I feel disgust with some people when I see what they are capable  
of, including lack of any dignity, when trying to find a seat in  
the tram."
2864,disgust,"I was disgusted from a quarrel between two married people, in  
which the children were involved as accusers of one of the  
parents."
2873,disgust,"At an unworthy behaviour of a man, pettiness, stupidity and  
mostly at a philistinism."
2880,disgust,"I was looking for an object when I came across a rotten corpse of  
a rat."
2887,disgust,"The behaviour of a colleague of mine, which doesn't correspond to  
my norms of behaviour."
2894,disgust,A lie on the part of a person close to me.
2901,disgust,"I saw a film about the nazi concentration camps during the war.  
After the film I felt disgust."
2908,disgust,"Some time ago a man tried to teach me something. ""Tried"" because  
it is very difficult to teach somebody when you yourself are not  
competent and cultured."
2915,disgust,"I met three drunk boys, almost children, they didn't look like  
normal people."
2922,disgust,"I detest any kind of constraint and hate the attempts of elder  
people to force me to a norm of behavior without having legal or  
moral rights to do it. I felt this emotion when a neighbour of  
mine made me kick out my guests because they had talked very  
loudly and threatened that with ""connections"" she will expel me  
from the inst."
2929,disgust,The event which got me angry got also an aversion in me.
2936,disgust,"I became disgusted with the man on whom I had counted, who I had  
trusted, the man who should have been my mainstay - my father.  
I could hardly make myself (and the others) believe in this  
emotion. It has cumulated after events and deeds. Everything can  
happen in this world."
2943,disgust,"For a drunk man (about 20 years old) that I met one evening, and  
who behaved impudently with the girls standing by."
2950,disgust,"I got disgusted with a man who was beating a woman in the street.  
I just happened to be there but I was abhorred by the rudness."
2957,disgust,Deception from a person I loved very much.
2964,disgust,"I felt it today when the bus driver shouted rather indecent words  
at a man without any reason whatsoever."
2969,disgust,"Some time ago I was disgusted with the ""cleanness"" of the  
refectory of our institute."
2976,disgust,"It was at a comsomol(??) meeting, the last one because we were to  
graduate. The way one of my fellow-students behaved made me feel  
disgusted."
2983,disgust,"I felt disgusted about a teacher who had rejected all that was  
human in her. She refused to accept the flowers we gave her for  
the eighth of March and asked for a foreign parfume instead."
2990,disgust,"I hate hypocrisy. My friend (girl) tried to intrude into my  
affairs with my future husband. After that she behaved as if  
nothing had happened."
2997,disgust,"I am disgusted with the behavior of a car driver whose car would  
run over me and my friends during our autumn brigade."
3004,disgust,"I am disgusted with a nieghbour who is looking for all sorts of  
quarrel with my parents and me. He feels we are hampering his  
living close to us. This has been going on for quite a long time."
3011,disgust,"I feel disgusted with the bootlickers, with helpless people."
3018,disgust,"In autumn I had to move to another lodging. My landlords, quite  
intelligent people, warned me I had to move in the nearest  
future. But I had difficulties in moving my luggage because I  
couldn't wait for a car to come. How amazed I was to hear them  
threatening me they would throw our my things. And at that my  
luggage was well packed and did not stand in their way. I was  
quite  disappointed and disgusted."
3025,disgust,When I see the acts and deeds of a blind drunk man.
3032,disgust,"I had a very good friend (boy) and I thought I could rely on him  
but he behaved badly with a girl who used to trust us completely."
3039,disgust,"I felt disgust with alcohol in general when a close friend of  
mine got so drunk that he didn't realize what he was doing and it  
was quite shameful."
3046,disgust,"I felt disgust with a lady teacher who used to nag, to mock, to  
interrupt everyone of my fellow students each time we had a class  
with her in our first year."
3053,disgust,"I feel disgust with my first boyfriend who made fun of our love  
in an abominable way."
3060,disgust,With an alcoholic.
3067,disgust,"During a summer holiday at a bar I happened to see a dead to the  
world woman."
3074,disgust,"Many times, when my father used to come home drunk and maltreated  
physically me and my mother."
3081,disgust,"Disgust for a person who treated me badly, and has treated other  
people similarly - including lying, hiding facts, being  
deceitful, unfair, etc."
3088,disgust,"With a woman who had walked into my place of employment and  
urinated on the floor in front of everyone."
3095,disgust,"I was disgusted by my paranoid attitude towards myself, my  
homework at university and disgusted about my lack of retention.  
Especially in learning another language."
3102,disgust,"People who came to our home - and requested ""Put out your smoke"".  
That we should not smoke in our house... and asked not even  
politely. It disgusted me because I think people need to adapt to  
the situation."
3109,disgust,A sour looking man was beating his thin dog in Remuera.
3116,disgust,"When the N.Z. rugby union announced that they would proceed with  
a rugby tour of South Africa."
3126,disgust,"A gathering of a social sports club at which they proceeded to  
show pornographic videos and then afterwards (when most people  
had had quite a bit to drink) carried on in a very degrading,  
unmoral manner - especially females exposing and flaunting  
themselves with no shame or embarassment."
3133,disgust,"A friend of mine goes out with this guy. She sleeps with him but  
is quite happy for him to play around - as well as herself."
3140,disgust,"My brother gave me a beating because he could not beat me  
verbally."
3147,disgust,"I'm very disgusted when I see people abusing their body with  
drugs and alcohol. They take advantage of these things usually  
for an excuse for the fantasies which they like and so they do  
things stupidly and unjustly."
3154,disgust,"Disgusted with boyfriend's mother - her overpowering,  
over-protecting and selfish attitudes."
3161,disgust,"A child told me she had been sexually abused by her step-father.  
I only knew the child and had not come into contact with either  
parent. I tried to do what was best for the child. The event and  
the stepfather disgusted me."
3168,disgust,"When a man spoke very sexistly in the company of some friends of  
mine."
3175,disgust,"With the N.Z. Rugby Union wanting to send the All Blacks to South  
Africa."
3182,disgust,"Having moved into a flat within the last week I felt some disgust  
that a bathroom tap had been left to drip with a faulty fawcet."
3191,disgust,When a close friend wilfully cheated me.
3198,disgust,"Finding that a girlfriend of mine was a prostitute and had been  
seeing many others during our relationship."
3205,disgust,"When someone I had had a relationship (purely sexual) with came  
up to me after I had used her and acted as if nothing had  
changed."
3212,disgust,A close friend took part in a racist violent action.
3219,disgust,"I get disgusted with the inherent racist attitudes of my  
brother-in-law in putting down various ethnic groups and also my  
unwillingness to challenge him about these attitudes in order to  
keep the peace."
3226,disgust,"Hearing Norman Jones get hysterical in Parliament about law  
reform (on the radio - listening with 2 others)."
3233,disgust,Reading literature on AIDS/homosexuality.
3240,disgust,"My older sister used to pick on my brothers and sisters all of  
whom were younger than her. On one occasion my brother did  
something my sister didn't like. A full-scale battle began."
3247,disgust,Our boarder burping after meals !
3254,disgust,"When somebody who had been a bully and had acted cruelly to  
others who were unable to defend themselves was taken down a few  
notches and he began to grovel. I was disgusted with his  
grovelling and the manner in which he had treated others."
3261,disgust,"Next door nieghbour ran over his cat in driveway, he tried to  
finish it off with a flat shovel. I would have taken cat to  
veterinary to either kill humanely or cure."
3268,disgust,Noticing my flat had maggotts !
3275,disgust,"When someone whom I considered my friend, without telling me he  
was annoyed, proceeded to ignore me for several meets with no  
apparent reason."
3282,disgust,"With a Manager who insists on making crude innuendos pertaining  
to sex."
3289,disgust,"Prolonged ""niggling"" of friend on a single theme which I  
considered of no consequence."
3296,disgust,"Watching an alcoholic woman who was approaching everyone at the  
wharf for cigarettes - a prostitute in Auckland (elderly)."
3303,disgust,"I was driving along and saw this young guy urinating into the  
gutter, in broad daylight."
3310,disgust,Obscene phone calls.
3317,disgust,When employer made a pass at me whilst I was at work.
3324,disgust,"Observation of people lost in the profit motive - i.e. business  
managers to their actions esp."
3331,disgust,"Having unwanted attention paid to me in my place of work -  
harrassment (and sexual harrassment) by another worker -  
disgusted by his implications."
3338,disgust,"At a party my best girlfriend got really drunk and went off with  
a guy she knows I really like."
3345,disgust,"I once saw a programme on TV describing how certain wild life  
films were made and was disgusted by the treatment of certain  
animals in this particular programme of the polar bear."
3352,disgust,"When reading a newspaper story of a man who had committed  
incestuous acts on his two-year old child - the thought that  
anyone could do such a thing is abhorrent to me."
3359,disgust,"I once saw an old man up the road, fossicking through the rubbish  
bins and the gutter. I was really disgusted at first but I've  
seen him a few times since then and now I feel really sorry for  
him and I often give him cigarettes when I see him, because he  
mainly goes after cigarette butts and it is revolting."
3366,disgust,"A boyfriend with whom I split up with came over to a friend's  
house where I was visiting with a male friend. In a confrontation  
in another room he tried to find out if I was aroused by my  
friend by feeling my parts."
3373,disgust,"When a close relative got quite drunk. It was a relative that I  
had respected for a long time and looked up to as a child."
3380,disgust,"The repression of rioting and non-rioting ""Blacks"" in South  
Africa by the police of that ""Democracy""."
3387,disgust,"My flatmate and close friend living and sleeping with another  
close friend of mine."
3394,disgust,Friends calling me fat - pear shaped in front of a nice girl.
3401,disgust,"A drunk walked out in front of a car at night. Both lower legs  
were broken. His shoe was thrown about 50 yards after the  
accident."
3408,disgust,"Flicking through a magazine showing pictures of homosexual men  
committing various acts."
3415,disgust,"I deliberately avoided a person who I wanted to hurt, and who  
wanted to talk to me."
3422,disgust,"One of my very good friends came to me for advice as her  
boyfriend had been hitting her and beating her quite harmfully."
3429,disgust,"I read a newspaper article about dogs being stolen in order to  
use them for fighting purposes."
3436,disgust,Watching a TV documentary on seal clubbing.
3443,disgust,"When I first saw the state of a cafeteria in the grounds of the  
university. Due to students own lack of concern for the  
environment in which they eat and drink. Rubbish and spilled tea  
and coffee left everywhere."
3450,disgust,When I heard about the disaster in Bophal (India).
3457,disgust,"A piece of work was marked as bad by the teachers I and some  
fellow students didn't agree with their vague criticism. I felt  
myself taken in by the teachers and felt disgust."
3470,disgust,"A person I know who tells lies and so pretending to be better  
than she is."
3477,disgust,"I was once raped (one year ago) by a man who was a lot older than  
me and whom I just met. Maybe it wasn't rape but the man wanted  
more than I wanted to give him since there were other people in  
vicinity."
3484,disgust,"When I was in Eindhoven on an Exhibition of Hernan Nitsche, who  
made paintings with real blood. There were also photographs about  
the killing of cows."
3491,disgust,"A few days ago I saw two dandy girls of my age. I disliked their  
clothes and their way of doing."
3500,disgust,"When I had to eat scraps from a dust-bin, because of a bet."
3506,disgust,When I entered a toilet in a bar and it stank.
3511,disgust,"One day I was in the countryside with several friends, and we  
began to eat figs, after we were all full we noticed that all the  
figs were full of worms."
3518,disgust,"I saw the gare of a prison.  This gare and the building were in  
deplorable condition and were full of rubbish."
3525,disgust,"On a trip to Santander a child sitting beside me fell ill and  
started to vomit, seeing this made me feel very bad."
3529,disgust,"When I heard about the treatment of a friend in jail. Really  
inhuman. I never realised that such things also happen in the  
Netherlands."
3536,disgust,"I was shopping in Utrecht with friends, we also ate some chips  
and snacks in a snackbar, then we saw a shabby fellow. He took a  
cold half eaten croquette (a snack) from a rubbish bin and eat  
it."
3543,disgust,"When I watched TV and saw a performance of ""Prince"" (a popidol).  
Disgusting he'd better be a stallion."
3550,disgust,"Being on view in a meat-factory. Pigs being cut open, pigs being  
suspended from nods, blood everywhere, decompsition."
3557,disgust,"When working in a chemical laundry, I saw rats and maggots in the  
washing."
3564,disgust,"I lived together with my boyfriend. One night he stayed away and  
next day he told me that he had chat up with another girl."
3571,disgust,"Each time I am confronted with reports about repression and  
torture."
3578,disgust,"I broke an egg, with which there was something wrong, into a  
little cup. There was a thick white ""wad"" in it. I tried to take  
it out and throw it in the sink."
3585,disgust,"On school, during a fancy fair, there was a stand of amnesty  
international. There I read (for the first time) a description of  
the tortures of a woman, what they did to her."
3592,disgust,"A friend and a girlfriend went to Rome for 10 days with their  
class. When they were back home I heard people tell ""strange""  
stories about my friend and that girlfriend."
3599,disgust,"When I take a look into a slaughter-house and when listening to  
stories about torturing people or animals."
3606,disgust,"When I saw a documentary film about World War II (about Hitler  
and his adepts)."
3613,disgust,"I wanted to take something from under my bed. While doing this I  
felt a dead bird laying under my bed."
3620,disgust,"Salo, a movie film by Pasolini. People were misused and tortured  
for the fun of a few elder Italian authorities, during World War  
II."
3627,disgust,"In a disco, there was a dirty little chap who punched my bottom."
3630,disgust,Seeing someone who has bleeding nose.
3637,disgust,"I read a book about torture. The book described exactly how the  
torturing was done."
3644,disgust,"A fellow student who seemed very nice later on proved to be a  
slimy fellow towards a professor."
3652,disgust,"Bisshop Ter Schure intoduced himself on TV to the Dutch Nation.  
He spoke as if he was God himself, and didn't discuss the way he  
had achieved this position."
3659,disgust,"When I read about or think about environmental pollution, the  
armor race, starvation, etc. Then one realizes that mankind is  
bad, most important is power and money, at the cost of nature and  
mankind."
3666,disgust,"It is very difficult to relate it to a certain event. I am  
familiar with the disgust of Sartre (la nausTe), a frequently  
occurring cause may be described as ""the self-assured dullness""."
3673,disgust,"When a girl in my class (on the secondary school) appeased the  
teacher, resulting in getting a higher grade. This occurred often  
with her."
3680,disgust,"Grandfather lives in a home for the elderly. He always looks  
forward to visits. On his birthday (by coincidence it was on  
""Mummy's day"") however, nobody went to see him. Is the own family  
more important than grandfather ?"
3686,disgust,"When my friend who was drunk insulted me in public for no reason at  
all."
3693,disgust,When I learnt that my best friend had failed the exams.
3699,disgust,"I found out accidentaly that while my uncle was away in Canada, my  
aunt had been bedding a young man on a regular basis."
3706,disgust,"A person whom I thought to be honest took and spend the little  
money that I had and I had no way of getting any money in the  
few following months."
3713,disgust,When my sister's boyfriend accused her of having been sleeping around.
3717,disgust,People who discriminate other people disgust me.
3724,disgust,"Seeing maltreated, dead animals."
3731,disgust,"During my birthday party a friend drank too much alcohol. So much  
that he had to throw up. Worst of all was that he couldn't leave  
my friend alone and that he was molesting her."
3738,disgust,"During military service I heard the story of someone who tried to  
commit suicide and as a result of this got a week custody."
3745,disgust,"I heard a broadcasting programme about parapsychology. The people  
in this programme used very difficult words which I couldn't  
understand. They acted exaggerated without showing any feeling."
3752,disgust,"A student who lives in the same house where I live is an alcoholic. He  
tries to manipulate other people with his money when he has drunk  
too much."
3759,disgust,"The stories about my aunt who was beaten and humiliated by my  
uncle."
3766,disgust,"There is a person whom I disgust. Evrey time I see her I get this  
terrible feeling I disgust her whole appearance."
3772,disgust,"A story I heard recently about a baby dying after sexual  
abuse."
3779,disgust,"When my parents behave very ""witty"" towards me, they make insipid  
jokes about which they laugh. Or my mother who treats me like a  
little child."
3786,disgust,"Every time I meet a certain person. We cannot get on well  
together, we dislike each other."
3793,disgust,"A friend had a quarrel with the mother of her boyfriend because  
she and her friend decided to go and live together. She needed  
money for removal, then she made a great effort to reconcile."
3800,disgust,"I saw a terrible accident in which the driver of a motor was  
thrown through the frontwindow of a car. His face was completely  
away."
3807,disgust,"A teacher was very blunt in his relation to a child so that the  
child was very upset when arriving at home."
3814,disgust,"When an uncle of mine who is very ill started to cough wich  
sounded very dirty. (He can't help it of course)."
3821,disgust,"My father is someone I disgust. So when he comes close to me  
a feeling of disgust overwhelms me. When I stay a week-end at my  
parent's place I will remember it for long time."
3828,disgust,"I was looking at a one-man show on television. He told very  
disgusting things so that I started to be disgusted with it.  
(Later on it proved that this was his intention)."
3835,disgust,"After the accident which I described in SHAME. I came to myself  
and saw how terrible everything looked like. I disgusted myself  
and everything I saw."
3837,disgust,"I heard part of a conversation in which one talked very low about  
women."
3844,disgust,"I felt disgust after watching a picture on television about  
torturing political prisoners in India (this happened in the  
India of Indira Ghandi)."
3851,disgust,"I feel disgust when hearing or seeing other people being treated  
inhumanely. For example torturing in chili."
3858,disgust,"A girl who also hires a room in the house where I live always  
tries to make a quarrel with everyone available she disgusts me."
3865,disgust,When I ate a rotten apple.
3872,disgust,"I read a story in the newspaper about butchers treating their  
animals very badly. They disgusted me."
3879,disgust,I saw a dog who was eating excrements.
3886,disgust,Seeing a pornographic movie in which animals were used.
3893,disgust,"I was hitch-hiking when a man stopped and gave me a lift to  
Nijmegen. During the ride he asked me whether I was in for fun.  
The man was fat and tatooed."
3900,disgust,"When once again I drank too much and felt very rotten the morning  
after."
3907,disgust,When I had to finish those big amounts of homework in time.
3914,disgust,"A scene in a film in which one man repressed another one. By  
concidence, their position was reversed. The other man was  
repressed in an identical way as he did before."
3921,disgust,"One night I saw a man being knocked down by two other men. The  
victim was kicked against his head."
3928,disgust,"Someone told me a story of Amnesty International: a boy was  
killed and his head was put in the litter of his girlfriend. It  
looked as if she was pregnant, then she died. It is disgusting, I  
can hardly write it down."
3935,disgust,"When people are eating unsavoury (smacking, belching, speaking  
with food in their mouth, etc.)."
3942,disgust,"When I made love with someone who I didn't really love. Sometimes  
I even considered him unlikable."
3949,disgust,"I read a newspaper report that a little boy was forced to look  
while his sister was raped."
3956,disgust,"I cannot remember exactly such a situation. But I know that  
once I went to a very dirty lavatory and that disgusted me."
3963,disgust,"My mother was very angry with my little sister and told her to  
put her hands on the table in order to beat her hands up. She  
forced by means of her power."
3972,disgust,"When I see that some people remain cold and egoistic with regard  
to close friends, even in situations that those friends need  
them."
3979,disgust,"A few days after I had finished the relationship with my  
boyfriend, we had a quarrel. Then he hit me. At that moment I  
found him disgusting."
3986,disgust,When I saw someone eating live worms.
3996,disgust,When I see rotten meat.
4003,disgust,"I had a class-mate who was rather stupid.  I did not like him  
but I respected him.  When he tried to talk to someone, they  
would not listen to him and I could not bear seeing this."
4010,disgust,When I am dirty because I have not had a shower for a few days.
4017,disgust,I had to change a baby's clothes for the first time.
4024,disgust,When I saw a scene on T.V where a castration was shown.
4031,disgust,"When a very dirty class-mate farted in my  presence.  There was a  
terrible smell."
4038,disgust,On seeing a scene of an accident in a magazine.
4045,disgust,Whenever I see an alcoholic.
4052,disgust,When I got to know the details if the famine in East Africa.
4059,disgust,"When I was a child, one day while playing, I fell up to my waist  
in mud."
4066,disgust,When I see people who have no sentiments.
4073,disgust,A young man was insulting and humiliating a drunken man.
4080,disgust,"When I saw a film where a black was rapeing a girl while another one was  
filming it for a pornographic movie."
4087,disgust,"Some people whom I do not like at all, and one of the reasons is  
their physical appearance."
4094,disgust,Pictures of Nazi extermination camps on a T.V program.
4101,disgust,When I see dead dogs on the road.
4108,disgust,When I saw a very disagreable scene.
4115,disgust,When I saw an accident where the man lost his head.
4122,disgust,"When a person saw that I was accused of something I had not done  
and did not do anything to defend me."
4129,disgust,When I had to dissect a live mouse at school.
4136,disgust,"When I saw several people washing their car with water from a  
drain."
4143,disgust,"One day I was going through the street door of my house, when a  
man asked me for a doctor.  He then showed me his genitals and  
asked me to cure him myself."
4150,disgust,"When after a storm in the country, I left my shelter and saw a  
big, fat, slimy green toad by my side."
4157,disgust,When I see pornographic films.
4164,disgust,"On the road there was a dead animal with its entrails showing and  
its skull crushed."
4171,disgust,"I was in the cafeteria at the university and a class-mate told me  
that a friend of hers had had all her teeth taken out because of  
an infection caused by her eating a rat's nail in her hamburger."
4178,disgust,The sight of vomit on the street.
4185,disgust,To loose friends because of them over-estimating themselves.
4192,disgust,The man who threw me out of the flat disgusted me.
4199,disgust,"I read a book whose plot and expressions were obscene and in very  
bad taste."
4206,disgust,"I saw in an ice-cream kiosque a cockroach walking through a  
cornet."
4213,disgust,A TV program on whale-hunting.
4220,disgust,"Some friends and I were having lunch.  Someone said something  
funny and one of the guys started laughing and spat his food in a girl's  
face."
4227,disgust,When I see someone vomitting.
